Word,Count
the,9469
*,7179
a,5941
be,3720
in,3263
to,3218
form,2864
,2835
or,2055
is,1989
of,1913
{@link,1864
value,1804
<p>This,1624
(in,1398
attribute,1364
<p>Must,1364
reference,1357
theme,1356
can,1177
this,1098
name,1047
array,1047
where,1013
found,1007
offset,940
symbol,934
<tr><td><code>{@link,932
@see,932
attribute's,932
@attr,932
may,798
\value,\,772
resource,759
for,739
type,735
on,732
containing,719
also,713
\"\<code>@[<i>package</i>:]<i>type</i>:<i>name</i></code>"\)\,692
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\)\,692
with,691
another,672
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\\,662
\"\<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>"\\,662
\resource,\,662
@param,616
as,600
and,594
<colgroup,594
/>,594
\align="\left"\\,594
which,521
number,470
The,465
point,461
such,452
data,435
by,419
floating,376
that,367
based,351
This,346
appended,338
pixels,336
unit,321
dimension,318
px,318
units,318
are:,318
Available,316
mm,316
(density-independent,314
font,314
\pixels),\,314
\(pixels),\,314
\"\<code>14.5sp</code>"\\,314
(scaled,314
sp,314
\(inches),\,314
(millimeters),314
dp,314
\size),\,314
preferred,314
if,292
from,277
series,258
@private,256
either,249
following,247
it,243
not,240
<table>,236
</table>,236
an,234
#AppCompatTheme},230
are,228
-,223
used,202
one,195
=,193
@return,187
<p>May,184
{number},182
all,180
boolean,176
color,171
set,170
should,169
\"\<code>false</code>"\\,168
\"\<code>true</code>"\\,168
License,165
axis,164
TODO(danvk):,160
options,159
we,157
will,150
If,149
string,147
\"\<code>#<i>aarrggbb</i></code>"\\,144
\"\<code>#<i>argb</i></code>"\,\,144
\"\<code>#<i>rrggbb</i></code>"\,\,144
\"\<code>#<i>rgb</i></code>"\,\,144
when,137
event,133
use,132
constant,131
at,130
using,129
values,124
chart,122
values.</p>,122
points,122
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,122
David,119
Attributes,116
attributes:</p>,114
<tr><th>Attribute</th><th>Description</th></tr>,114
<p>Includes,114
It,113
function,112
file,111
object,108
canvas,106
first,105
under,103
{,100
Returns,99
new,97
context,94
each,94
was,93
walk,93
so,89
line,88
but,86
generated,85
has,84
option,82
call,82
you,81
index,81
Copyright,81
default,78
more,78
},78
class,78
range,77
get,76
x,74
global,72
'\\;',70
character,70
have,70
'\\n',70
+,70
