File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\androidTest\debug\davidlee_11055579\wheeledwalks\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\debug\davidlee_11055579\wheeledwalks\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\android\support\design\R.java,1661,1653,1689,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\android\support\v7\appcompat\R.java,1351,1343,1361,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\android\support\v7\cardview\R.java,57,49,44,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\android\support\v7\mediarouter\R.java,1164,1156,1170,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\android\support\v7\recyclerview\R.java,33,25,21,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\ads\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\all\R.java,11,3,2,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\analytics\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\appindexing\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\appinvite\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\appstate\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\auth\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\base\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\cast\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\drive\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\fitness\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\games\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\gcm\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\identity\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\location\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\maps\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\measurement\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\nearby\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\panorama\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\plus\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\safetynet\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\vision\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\wallet\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\com\google\android\gms\wearable\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\davidlee_11055579\wheeledwalks\Manifest.java,17,6,4,0,3,0,8,40,6,32
C:\Android_Dev\WheeledWalks\app\build\generated\source\r\debug\davidlee_11055579\wheeledwalks\R.java,11289,2568,2408,0,4,0,8717,41888,6,32
C:\Android_Dev\WheeledWalks\app\src\androidTest\java\davidlee_11055579\wheeledwalks\ApplicationTest.java,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\FinaliseWalkActivity.java,325,226,167,13,51,6,48,314,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\NewWalkActivity.java,199,134,99,14,30,2,35,209,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\RecordWalkActivity.java,585,395,307,31,107,3,83,544,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\SettingsActivity.java,41,12,8,0,9,1,20,132,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\StartScreenActivity.java,511,352,262,32,81,19,78,541,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\AddObstacleDialogFragment.java,137,81,60,9,18,3,38,256,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\AddStepDialogFragment.java,117,68,49,6,19,2,30,201,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\BluetoothSetupDialog.java,263,173,134,11,58,1,32,174,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\ConfigBtSensorDialogFragment.java,119,79,61,9,32,0,8,25,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\ControlFragment.java,278,207,157,14,38,7,33,236,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\CustomMapFragment.java,378,246,171,23,55,4,77,454,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\EditWalkDialogFragment.java,396,277,206,25,65,5,54,332,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\LogFileViewerDialog.java,310,189,136,25,46,9,75,525,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\RawDataFragment.java,253,177,126,14,49,0,27,153,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\SearchWalksDialogFragment.java,108,62,46,7,20,0,26,165,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments\WalkMapFragment.java,154,98,65,12,27,5,29,174,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\BtDeviceCardAdapter.java,151,95,72,9,35,0,21,133,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\CloudStorage.java,236,141,101,11,45,0,50,174,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\DevicesDatabaseHelper.java,155,106,71,7,38,0,11,47,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\NavDrawerAdapter.java,273,169,126,19,55,17,49,388,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\WalkCardViewAdapter.java,97,62,41,3,16,0,19,117,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\WalkCardViewHolder.java,107,62,53,3,19,0,26,164,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers\WalksDatabaseHelper.java,199,115,69,9,33,1,51,296,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\AccelerometerData.java,182,116,78,14,44,1,22,136,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\BtDeviceDbConstants.java,45,26,13,0,10,0,9,27,0,0
