Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,142,84515,53183,46115,3347,4852,605,26480,141147,900,5406
C:\Android_Dev\WheeledWalks,142,84515,53183,46115,3347,4852,605,26480,141147,900,5406
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis,19,27718,17965,13000,2822,3034,452,6719,44417,15,87
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build,5,13468,8714,6297,1380,1418,217,3336,22043,5,32
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app,5,13468,8714,6297,1380,1418,217,3336,22043,5,32
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src,14,14250,9251,6703,1442,1616,235,3383,22374,10,55
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main,14,14250,9251,6703,1442,1616,235,3383,22374,10,55
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java,9,781,537,406,62,197,18,47,331,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\Models,6,397,278,204,36,97,14,22,191,0,0
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com,3,384,259,202,26,100,4,25,140,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example,3,384,259,202,26,100,4,25,140,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example\David,3,384,259,202,26,100,4,25,140,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example\David\WheeledWalks,3,384,259,202,26,100,4,25,140,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\java\com\example\David\WheeledWalks\backend,3,384,259,202,26,100,4,25,140,5,23
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp,5,13469,8714,6297,1380,1419,217,3336,22043,5,32
C:\Android_Dev\WheeledWalks\app,73,31149,19531,18012,432,1388,120,10230,50995,588,3616
C:\Android_Dev\WheeledWalks\app\build,34,23699,14717,14491,0,71,0,8911,42906,198,1042
C:\Android_Dev\WheeledWalks\app\build\generated,34,23699,14717,14491,0,71,0,8911,42906,198,1042
C:\Android_Dev\WheeledWalks\app\build\generated\source,34,23699,14717,14491,0,71,0,8911,42906,198,1042
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig,2,28,18,16,0,4,0,6,18,6,18
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\androidTest,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\androidTest\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\androidTest\debug\davidlee_11055579,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\androidTest\debug\davidlee_11055579\wheeledwalks,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\androidTest\debug\davidlee_11055579\wheeledwalks\test,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\debug\davidlee_11055579,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\buildConfig\debug\davidlee_11055579\wheeledwalks,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\app\build\generated\source\r,32,23671,14699,14475,0,67,0,8905,42888,192,1024
