File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,function(snapshot),3,2,2,0,0,0,1,3,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,function(errorObject),2,2,2,0,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,function(snapshot),4,3,3,0,1,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,function(errorObject),2,2,2,0,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,updateGraph(filtered),146,94,73,13,31,7,21,135,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,isFinished(array),8,7,5,4,0,0,1,4,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,getLabels(),46,42,29,14,4,1,0,5,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,getEnabledSensors(),21,18,6,2,3,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,displaySensorTagOptions(),25,19,17,2,6,3,0,15,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"createSensorDiv(sensorType, sensorNumber)",60,52,50,3,8,19,0,81,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"createNewCheckbox(name, id)",6,6,6,1,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,addFilter(),140,118,112,8,21,17,1,80,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,showValue(),32,27,14,7,4,0,1,8,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,testFilters(),80,56,32,11,15,2,9,58,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,exportFilters(),38,27,22,5,7,2,4,28,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,upgradeFilters(),30,21,10,5,8,0,1,7,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,discardFilters(),6,5,5,0,1,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,cloneDevicesArray(arrayToClone),23,20,16,4,3,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"highPassFilter( values, timestamps, cutoff, smoothing )",13,13,10,3,0,1,0,5,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"lowPassFilter( values, timestamps, cutoff, smoothing )",13,12,10,3,1,1,0,5,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"normalize(values, adjust)",13,11,9,3,2,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"rectify(values, level)",12,9,7,3,2,0,1,14,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"gradient(values, scale)",9,6,5,1,3,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,saveGradient(),15,11,7,3,1,0,3,18,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"toGradient(values, divSize)",18,16,11,7,2,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,getMax(arrayValues),8,8,6,3,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,getAvg(values),10,10,6,3,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,"getMaxFromInterval(values, timestamps, start, end)",12,10,7,4,2,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\DisplayWalkScripts.js,exportToTrack(gradientType),48,37,27,10,4,1,7,28,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\build\exploded-app\dygraph-combined-dev.js,'undefined') DEBUG=true;    var Dygraph = (function(),3761,2277,1769,465,384,55,1100,7805,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,function(snapshot),3,2,2,0,0,0,1,3,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,function(errorObject),2,2,2,0,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,function(snapshot),4,3,3,0,1,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,function(errorObject),2,2,2,0,0,0,0,0,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,updateGraph(filtered),146,94,73,13,31,7,21,135,
C:\Android_Dev\WheeledWalks\WheeledWalks_Analysis\src\main\webapp\DisplayWalkScripts.js,isFinished(array),8,7,5,4,0,0,1,4,
